Ulasan;
Saya datang sekitar jam 6sore, dan kondisi di parkiran masih sangat sepi, hanya ada beberapa mobil, tp ketika pulang sekitar jam 10, parkiran sudh penuh, tidak terlalu banyak mencoba wahana permainan;
Tempat yang dipenuhi dengan lampu2 lampion. Banyak juga permainan2 seperti rumah hantu dan juga wahana2 untuk anak2 masih kecil. Ada juga tempat bermain seperti panah2an dan juga lempar piring. Cukup seru untuk pergi ramai2 dengan teman walaupun dengan anak2 kecil.;
Sangat bagus lampu lampu malam hari warna warni.  Wahananya cukup menantang rame banget apalagi pas musim libuean jadinya kurang bisa menikmati pwrmainan pwrmainan yg ada.  Karena haeus antri panjangg..;
Bersama keluarga ke BNS. Harga tiket masuk Rp 40rb perorang. Namun jika ingin menikmati wahana didalam masih tambah biaya lagi antara Rp 13 rb sampai dengan Rp 20 rb. Kecuali untuk arena gokart yang Rp 50rb.wahana yang menarik seperti rumah hantu dan rumah penyihir. Keren idenya. Tiket terusan 90rb perorang termasuk sebagian besar wahana permainan. Saran saya wahana diperbanyak lagi dari saat ini supaya makin menarik.ssbelum pintu keluar ada tempat berbelanja suvenir yang menarik.bahan baju2 nya lumayan berkualitas dan modelnya juga menarik. ;
Dari luar penampakanny okay, tapi pas masuk ke dalam biasa saja, seperti pasar malam dengan fasilitas lengkap, makanan disana standard sesuai harga yang low budget.;
Menurut saya BNS cocok untuk keluarga yang mempunyai anak-anak, karena sebagian besar wahananya diperuntukkan untuk anak, di taman lampionnya bagus karena lampu2 yang indah;
pasar malam modern dengan permainan yang baru bagus alatnya terawat tidak seperti pasar malam tradisional yang akdang sudah karatan. betah banget bermalam di BNS harus main sampai tutup;
Wajib banget ke tempat lampionnya klo ke BNS,,  banyak tempat2 bagus utk jadi latar foto..  (klo bs kameranya yg bs bagus foto dimalam hari)  Wahana lain juga rame, overall lebih morip pasar malem, anak2 suka di arena mandi bola,,  org tua seneng di tempat lampionTiket masuknya tidak terusan,  jadi didalem harus bayar2 lagi,   lumayan nguras kantong sih..  😁😁;
Tempat yang menyenangkan untuk menghabiskan waktu malam bersama teman-teman, banyak atraksi gamenya yang menarik dan seru, udaranya juga dingin dan segar, jadi wajib di kunjungi jika anda berada di Batu Malang.;
Berbagai area bermain yang bisa dicoba, mulai dari rumah hantu (yg cuma berisi hantu mekanik) sampai permainan perang-perangan laser. Cukup menghibur untuk mengisi waktu selama berkunjung ke Batu.;
BNS ini adalah tempat wisata malam yang menyenangkan bersama keluarga anda saat berkunjung ke Batu, karena didalamnya banyak atraksi untuk anda dan keluarga anda;
Hanya buka dari sore sampai malam hari, di hari kerja bisa masuk dengan harga tiket 30 ribu. Ketika masuk, tempatnya tidak begitu luas, sehingga wahana yang ada lokasinya terlalu dekat menurut saya. Sepertinya loaksi ini cocok untuk anak yang sudah SMP ke atas, karena wahana untuk anak kecil sanghat sedikit.  Menuju pintu keluar akan banyak terdapat kios2 yang menjual pernak-pernik dan kaos Malang & Batu.;
Tempatt paling banyak di kunjungin wisatawann lokal maupun luar negerihh, batu night spectacullar show nya keren;
Bns ini tempat untuk bermain di malam hari kalau kita pergi ke kota batu malang, terdapat banyak sekali mainan mulai dari untuk anak2 sampai orang dewasa, tempatnya memang didesain untuk tempat rekreasi keluarga, dan jam buka oprationalnya mulai sore sampai malam hari, terdapat juga tempat belanja souvenir atau oleh2 khas kota batu malang ;
Cocok banget buat kalian yg nyari2 wisata malam asik barenh keluarga yg ada anak2 nya. Semacam pasar malam modern gituu lohh. bNS yg paling top;
Expecting akan gimanaaaa gitu.. Tapi ini lbh kaya pasar malam.. ga rekomen klo bawa bayi ya, org merokok sembarangan..;
Yang membuat saya menyukai tempat ini karena banyaknya wahana. Meskipun tiap wahananya kita diharuskan membeli tiket kembali selain tiket masuk tapi culup menyenangkan.;
Sangat direkomendasikan untuk berkunjung saat malam hari dan masuk ke area lampion karena disana akan sangat indah untuk dijadikan tempat berfoto;
Bagus, seperti dufan kecil, banyak wahana permainan yang bisa dinikmati bersama teman dan keluarga , juga ada foodcourt kalo capek dan pengen makan dan juga bisa belanja2 karena ada outlet dekat pintu keluar.;
menarik sekali bisa berkunjung kesini, wahananya banyak dan menarik dan cukup edukatif, untuk tarifnya pun standar, cocok untuk liburan keluarga dan anak anak karena banyak wahana prmainan yang bagus disini;
Untuk parkir kurang nyaman, untuk pelayanan kurang juga, untuk permainan bagus walaupun waktu tunggunya lumayan lama, dan untuk tempat makan yg disediakan cukup baik.;
Tempat yang menarik untuk berlibur karena banyak permainan yang tersedia , atau kalau tidak mau bermain , cukup membeli makanan atau minuman yang banyak tersedia di tempat tersebut , buka sampai larut malam .;
Meriah di malam hari. Cahaya dari lampu yang di hias berwarna warni, menjadi daya tarik sendiri apalagi untuk anak anak. Senang dengan wahana, dari anak anak, remaja dan orang tua bisa menikmati;
Bagi yang ngelencer bersama keluarga mungkin cocok aja, tapi jika bersama teman-teman koq kayaknya kurang pas yah.. terkesan hanya untuk hiburan anak-anak saja;
ini lagi hits dikota BATU, semacam pasar malam.. tapi tempat ini patut dikunjungi jika kalian di Jawatimur.;
Setelah mengunjungi Jatim Park 2 kami lanjut ke Batu Night Spectacular (BNS), kami hanya membeli tiket masuk saja tidak tiket terusan. Suasananya seperti pasar malam yang dilengkapi aneka permainan dan tempat makan. Menuju pintu keluar ada toko cinderamata yang menjual aneka kaos dan oleh-oleh lainnya.;
Tempat rekreasi untuk keluarga dan teman permainan yg lumayan bervariasi penjualan souvenir yang ber anekaragam;
Kalau dilihat konsepnya seperti pasar malam yang lebih terorganisir dimana ada aneka permainan dan juga dilengkapi dengan tempat makan dan tempat souvenir. Anak-anak lebih suka untuk naik bombomcar dan komidi putar lalu foto-foto di taman lampion dan trick eye gallery. Disarankan untuk beli tiket terusan karena terhitung jauh lebih murah.;
datang dengan gelang sakti 2 hari 375 rb buat se jawa timur park...... saran sata mending beli tiket terusan saja 100rb.. permainan banyak.... lampion garden cakep.... food cour cuakepppp dengan pertunjukan air mancur menari kalau jam stgh 9 plus layar terpanjang tyang tepat diatas kita menghadirkan film pendek...;
Untuk wisata malam BNS lumayan juga. Banyak wahana ditawarkan tapi lebih cocok untuk anak dengan tb diatas 120cm. Jadi kalo keluarga dengan bayi 20 bulan seperti saya cukup menikmati kemeriahannya saja. Wahana yang kami coba hanya mini train, sepeda gantung, dan lampion garden. ;
Tempat sih ga tll istimewa. Tp memang indah kl dtg mlm. Saran ; bawa bj hangat krn udara dingin. Makanan dan minuman tersedia. 
Benar-benar spekta untuk kawasan wisata yang buka malam hari. Wahana permainannya banyak yang memacu adrenalin dan selalu ramai. Favorit rumah hantu tapi saya tak cukup berani hehe;
Nice place. Akan tetapi kurang dapat menikmati karena kurang banyaknya permainan untuk anak umur 7-10. Akan lebih bagus jika ditambah taman yg banyak serta permainan yang memadai.;
BNS merupakan tempat wisata dengan ragam wahana permainan baik untuk anak-anak maupun dewasa..Tiket masuk tidak terlalu mahal kok..hanya 30 rb, tapi jika ingin menikmati semua wahana permainan ada juga tiket terusan kok..gak terlalu mahal juga kok kisaran 100rb-an..hanya saja jika sudah naik di salah satu wahana tidak bisa untuk naik lagi wahana tersebut di kesempatan lain, tapi tenang..masih banyak wahana permainan lain kok yang seru yang menantang andrenaline..makanan dan minuman dari luar tidak diperkenankan dibawa masuk..;
Berkunjung di musim liburan sekolah, keramaiannya luar biasa. Namun tidak perlu menunggu lama untuk bisa menikmati wahananya. Petugas akan memeriksa berkali kali untuk memastikan keamanan pengguna wahana. Beberapa wahana mensyaratkan tinggi badan diatas 85 cm. Cocok untuk remaja dan anak muda namun tetap ada untuk orang dewasa. Buat anak anak juga ada. Disarankan tiket terusan untuk dewasa dan tiket masuk saja buat anak anak dengan tinggi 85 -120 cm.;
Wahananya tak terlalu banyak, namun harga tiket terusannya lumayan mahal, terutama disaat weekend. Demikian juga dengan harga kuliner dan bermacam oleh-olehnya, juga mahal;
Tempat yang sangat cocok untuk liburan sekeluarga. Cuma sayang klo longweekend macet habissss!. Klo mau nginap byk home stay bertebaran jangan beli online homestayx, langsung saja datangi t4x krn klo beli ol 2x lipat hargax.;
Bns. Apiklah. Ada lampion garden. Ada 4 dimensi trick art. Ada kursi terbang. Permainan laser.  Siplah. Di bali baru dibikin kayak ini. Tapi skala yg lebih kecil krisna fantastic land;
Area permainan untuk anak-anak, jika pengunjung dari kota besar seperti Jakarta tidak disarankan kesini karena menjadi biasa... Dikenakan biaya tiket namun mayoritas ermainan yang cukup menarik harus berbayar diluar biaya tiket. Lampu-lampunya cukup terang dan meriah di malam hari.;
Tempat ini buka di sore sampe malam hari yg menyajikan permainan terutama untuk anak2, bagi turis yg berkunjung ke batu tempat ini cocok buat keluarga disini anda bisa bermain sambil mencari oleh2 buat sanak saudara karena ada gedung khusus tempat suvenir, cuma sayang permainan lampu lasernya hanya bisa dilihat jam 21 WIB...;
BNS adalah tempat wisata yg wajib di kunjungi, wahana yg di buka saat sore hari hingga larut malam. suasana malam yg dingin terlihat gemerlap lampu pemukiman penduduk. ada banyak wahana permainan di sana, mulai untuk anak2, remaja, hingga dewasa. sekitar pukul 9 di area foodcourt kita bisa melihat pertunjukan air menari dengan permainan cahaya yg indah, dan langit2 foodcourt yg menjadi layar saat pertunjukan di mulai.;
Yang paling saya suka yg taman lampion, unik, banyak bentuk dibuat dengan dipasang lampu lampu. Masuknya murah hanya 30 ribu tapi setiap masuk wahana bayar lagi.;
mengisi malam di batu malang dengan permainan kayak di dufan, walaupun tidak selengkap dufan... wahana tidak terlalu besar, foodcourt makanannya kurang enak.. banyak penjual cenderamata.. lampion-lampion besar kurang terpelihara...;
Wisata malam di batu yang wajib dikunjungi.. Banyak mainan seru yang harus di coba. Dari mainan anak kecil sampai dewasa. Juga banyak penjual sovenir n oleh2.;
Tempat hiburan yang cukup unik di Kota Batu. Sayangnya saat datang kesini sudah sangat kemalaman sehingga tidak bisa menikmati semua hiburan yang ditawarkan. Wahananya cukup menyenangkan walaupun tidak terlalu variatif.;
Bns merupakan salah satu tempat rekreasi malam hari di batu malang. Konsep yang diusung oleh bns seperti pasar malam tetapi sudah dikonsep secara modern, tapi bagi kami bns kurang cocok untuk anak balita, karena biasanya si kecil sudah lelah dan waktunya tidur malam sehingga kurang bisa mengexplore BNS;
Mengunjungi Batu tak lengkap jika belum mengunjungi BNS, tiket masuk 30rb, tetapi jika ingin mencoba permainannya maka saya sarankan untuk membeli paket terusan seharga 100rb. Favorit saya adalah lampion garden dan sepeda udara dimana kamu bisa melihat kota batu dimalam hari dari ketinggian (tidak disarankan jika memiliki phobia ketinggian).;
Tempat wisata yang ada dikota batu yang buka sore sampai malam hari dengan arena main dan ujian adrenalin;
Bentuk lampion-lampion yang unik dan beberapa wahana wisata yang menarik, sangat cocok mengajak anak-anak berlibur.;
terkesan seperti pasar malam, dan kurang ada variasi di dalamnya.. sebagian juga ada beberapa yg sudah kurang bagus;
Destinasi hiburan pada malam hari yang cocok buat keluarga dan anak anak,sarananya lengkap dengan permainan yang menguras adrenalin,sayang dilewatkan ketika anda berkunjung ke Batu,belanja oleh oleh juga bisa disini,di halaman depan ada jangung bakar yang bisa pilih rasa pedas atau gurih.;
Biaa disebut malam yg indah di kota batu utk membawa anak istri berlibur,udara dingin banget bagi yg membawa anak pastikan membawa jaket,karna udara dingin bingit,air mancur nya mantap menari nari,makanan nya enak pol;
gak nyangka di kota kecil seperti batu bisa mengelola taman hiburan yang apik dan tematik unik dan tidak m3nggelitik kantong alias Murmer tapi gak murahan..paling seneng ke taman lampion nyaa karna bisa menikmati bersama keluarga;
tempat yang lumayan bagus untuk wisata malam di Malang bersama keluarga tercinta, persiapkan jaket jangan lupa dikarenakan udara malam Malang yang cukup dingin, lebih baik datang lebih awal agar cukup puas menikmati semua wahana yang tersedia.;
Berbagai macam permainan yang menantang andrenalin dan konsep lokasi yang menarik untuk di kunjungi.tiket masuk yg terjangkau serta permainannya;
Permainan cukup banyak dan lumayan menghibur jika membawa anak anak yang masih kecil.. peremajaan wahana perlu dilakukan .. harga cukupbersahabat;
wisata ditempat ini cukup menyenangkan, banyak permainan anak sehingga anak saya cukup senang kemari, setelah ini banyaknya lampion yang bagus-bagus cocok untuk berfoto keluarga atau yang berpasangan, tontonan air mancur menari juga cukup menarik perhatian.;
Lokasi berdekatan dengan tempat makan dan penginapan. Spot foto yang disediakan cukup beragam. Saya masih belum mencoba wahana yang ada disekitar BNS, semoga dilain kesempatan bisa mencoba. ^^;
"Ini ""pasar malem"" yg paling keren yang pernah dikunjungi selama ini. Bagus banget, dari mulai buka sampe mau tutup gak bosen-bosennya ngabisin waktu disini, sampe ada gokartnya juga, tapi tetep, taman lampion nya juara.";
Tiket yang anda beli tidak terusan, atau dengan kata lain anda harus membayar / membeli tiket lagi bila ingin memasuki wahana2 tertentu.;
Tempat ini seperti taman bermain di malam hari, Wahana permainannya cukup menarik untuk keluarga, khususnya anak dan remaja. Untuk wisatawan senior cukup bisa menikmati pemandangan lampion-lampion (lampu warna-warni), sambil berfoto (selfie);
Taman bermain yang menarik, lebih ekonomis membeli karcis terusan untuk menikmati wahana permainannya. Taman lampionnya bagus untuk spot foto.;
Hanya dengan 30rb sudah bisa menikmati wisata malam yang sangat indah, banyak permainan mulai dari yang ekstrem sampai yang biasa saja. Lampionnya sangat indah!;
Cocok buat anak muda, udara batu malang yang sejuk jadi betah berlama2 . Tapi untuk pilihan makanan didalam lokasi sangat kurang bervariasi;
BNS memang cocok dikunjungi untuk wisata malam. Namun ketika tiba disini, jauh dari ekspektasi saya. Wahana nya kurang menarik bagi saya, kecuali go cart nya. Bagi anda yang sudah pernah menyaksikan taman lampion sebelumnya mungkin akan merasa biasa saja. Begitu juga air mancur menarinya juga tidak istimewa. Namun, pantas dicoba berkunjung ke sini.;
tempat yang patut direkomendasikan untuk wisata malam di kota Batu, banyak aneka permainan ditempat ini baik permainan untuk orang dewasa maupun untuk anak anak, yang saya suka dari tempat ini adalah  istana lampion yang tampak menarik dan menyala ditengah malam;
Opsi tambahan jika ingin jalan jalan malam dikawasan sekitar Batu Malang, banyak wahana permainan memacu adrenaline di BNS tiket masuk cukup terjangkau, lokasinya tidak jauh dari lokasi tempat wisata lainnya di Batu Malang.;
BNS cocok untuk berkunjung saat malam hari. Karena di malam hari suasana lampu - lampu akan terlihat dan sangat indah. Di BNS tersedia berbagai macam wahana mulai dari yang biasa - biasa hingga yang ekstrem. Selain tempat wahana disini juga tersedia food court, tempat perbelanjaan souvenir khas Kota Wisata Batu serta menjual Ole - Ole khas Kota Batu yaitu keripik yang terbuat dari buah - buahan segar.;
disini ditawarkan berbagai macam wahana permainan, tapi sayangnya alat yang digunakan dipermainan agak terlihat usang, tetapi tetap seru, disini ditonjolkan adalah wisata lampionnya , harga tiketnya pun murah;
semakin malam makin bagus karena lampu warna warni menyala indah, bisa sekedar jalan-jalan dan bermain, karna tidak main seluruh wahana, kami pilih beli tiket masuk saja. Di dalam kami baru beli tiket untuk beberapa permainan yang kami suka. Ada juga pertunjukan air mancur menari (free) di area food court malam hari sekitar jam 8 malam (ada beberapa kali show);
pertama berkunjung ke sini bener bener luar biasa, konsep hiburan keluarga dan lengkap, ada sekitar 20 wahana yg patut di coba dan food court yang luas dan setiap mlam ada pertunjukan;
Waktunya lebih banyak habis di taman lampion, karena yg lainnya wahana permainan utk anak-anak, tidak sempat masuk ke gallery 3D art, satu spot lokasi tp beda2 tiket masuk.;
Atraksi permainannya menarik dan banyak yang ekstrim, pilihan untuk anak-anak yang tidak menyukai permainan ekstrim cukup sedikit sehingga kami hanya lewat saja.  Kulinernya juga kurang bervariasi.;
DI siang hari lokasi ini sangat sepi dan tidak menarik,ttp beranjak malam,berubah mnjadi pusat keramaian wisatawan di Batu...tiket bisa beli yg terusan ( kecuali utk beberapa wahana) atau hanya beli tiket masuk saja...konsepnya seperti dufan sih hanya saja aktifnya malam hari,dan wahana permainannya tidak sbanyak dufan,tp ada beberapa wahana yg menarik seperti rumah lampion yg memang sangat cantik di malam hari krn permainan sinar lampu;
Tujuan lanjutan setelah siang hari berkeliling di area Malang, lokasi buka di sore hari dengan lampu lampu hias di sepanjang area BNS. dapat melihat pemandangan sore hari kota Malang dengan naik sepeda udara. Harga tiket lumayan bersahabat, saran saya ambil tiket terusan saja karena lumayan beda harga tiap wahana permainannya. Tujuan pertama saya wahana sepeda udara supaya dapat melihat pemandangan sore langit Batu, kemudian taman lampion dll;
bagi anda yang mengunjungi BNS pada malam hari, jangan lupa untuk mengunjungi taman lampion yang sangat cantik. dan bagi kalian yang ingin berwisata dalam waktu 1-2 hari dan ingin keliling jatim park juga. lebih baik membeli tiket terusan yang lebih hemat;
kalau malam hari bisa ajak keluarga ke BNS untuk menikmati permainan yang ada disana. Bisa juga sekedar makan atau foto2 di taman lampion;
Salah satu tempat favorit juga karena ada Taman Lampion. Tempat wisata ini hanya buka malam hari. Wahana lumayan banyak.;
BNS merupakan taman rekreasi yang mempunyai beberapa wahana keren, dimana anak-anak dapat bermain sambil belajar , ketika anak-anak anda datang kesini mohon pengawasan dari orang tu karena terlalu ramai sehingga banyak orang tua harus kehilangan anak-anaknya..;
BNS mulai buka pk 15.00 hingga pk. 24.00. tarif masuk cukup terjangkau, namun untuk masuk ke setiap permainan harus kembali membayar. Terdapat banyak wisata kuliner di depan BNS. Sangat cocok untuk keluarga yang ingin menghabiskan waktu malam bersama anak sambil menikmati dinginnya kota Batu.;
Arena bermain anak n dewasa yg murah menarik nyaman dan bersih. Makanannya euenak dan murah, foodcourt pilihannya sangat banyak. Shownya menarik. Mainannya ganti2. Karcis murah, mulai 7000-20000tembak-70000 utk gokart. Anak2 sangat suka kesini.;
Saat di kota batu dan malam gak tau mau ngapain..langsung merapat kesini dan anak saya menikmati beberapa wahana dan sayangnya food stall disana rata rata masakan nya kurang enak padahal harga cukup mahal..;
Salah satu taman hiburan yang bisa kita kunjungi saat singgah di Kota Batu.Yang membedakan BNS dari taman hiburan lainnya adalah jam bukanya di sore hari sampai malam hari. Bagi yang suka  ber-selfie ria maka taman lampion adalah tempat yang cocok untuk Anda. Bagi yang suka horor maka silahkan berpetualang di rumah hantu. Bagi yang suka permainan yang memacu adrenalin banyak pilihan permainan yang bisa Anda coba di BNS. Jangan lupa Cinema 4D nya, dijamin seru.;
Kalau mau kesini, mau pake tiket terusan lebih murah bagi yang suka main-main wahana yang ada, tapi jika cuman menikmat malam saja mendingan beli tiket masuknya aja;
untuk anda yang masih remaja & senang permainan, ini tempat yang mengasikan. taman lampion nya juga bagus, layak untuk di kunjungi;
Kalo masuk kesini mending beli tiket terusan (include wahana permainan)bagi yg pengen maen2 wahana permainan.. soalnya kalo engga jatuh nya lebih mahal karna 1x wahana permaianan rata2 13.000-15.000;
Tempat hiburan ini buka pada malam hari, banyak permainan2 yaa kurang lebih seperti Surabaya Night Spektakuler lah, harga tiket sekitar 60an(pd waktu itu);
jika kamu ingin wisata di malam hari maka datanglah ke BNS Batu Malang, letaknya dibawah gunung Panderman. Hawa dingin berubah menjadi panas karena sesaknya pengunjung yang mencari hiburan malam. banyak wahana yang membutuhkan adrenalin disini. Pas dijam 21.00 dan 23.00 ada pertunjukan air mancur bergoyang silahkan mencoba....;
Cocok bersama pasangan, terutama di lampion garden nya.. So sweet Namun jenis makanan yg disediakan tdk terlalu istimewa, disarankan utk lebih diutamakan menu khas daerah agar lebih menambah kesan ;
Wahananya banyak, hanya semua berbayar,,Paling suka di lampion garden, ada eiffel mini, petronas mini,dll.. Banyak spot buat poto2..;
Wahana ini ada di kota batu malang. Lokasi nya berdekatan dengan tempat wisata lain di batu seperti museum angkot dan wahana permainan jatim Park. Tiket nya dipisah antara tiket masuk dan tiket terusan. Tiket masuk 40 rb dan tiket terusan jadi 100 rb. Kalo di hitung lebih hemat membeli tiket terusan karena di dalam banyak wahana yang sekali masuk Minimal 15 rb. Di dalam wahana banyak permainan yang memacu adrenalin,, bisa di bilang isinya seperti mini dufan.;
Tempat yang bagus, penuh dengan berbagai  permainan, untuk anak, remaja dan dewasa juga ada.  Tempat ini dirancang dengan konsep seperti pasar malam. Hanya sayang tidak dibuat tiket terusan, untuk semua permainan termasuk masuk ke rumah lampion. Dengan adanya tiket terusan akan memudahkan konsumen, sehingga tidak berulangkali membayar dan membeli tiket.;
Bagi kalian yang suka main wahana sedikit ekstreme boleh coba ke tempat ini.... bisa foto dengan gambar 4D dan laen laen;
Tempat ini bagus, sangat bagus. wahana yang disediakan keren. dan murah di kantong HTM nya. cocok untuk anak2 dan dewasa. destinasi nya juga tidak terlalu jauh dari alun-alun kota batu;
banyak wahana bermain dan ramai pengunjung apalai di hari libur.. hanya saja semua wahana berbayar. Masuk ke rumah lampion juga harus bayar....sehingga agak berat juga jika bawa banya anggota keluarga;
menikmati berbagai wahana permainan baik utk anak-anak maupun dewasa yg memacu adrenalin. Lampion Garden dengan suasana romantis ditambah udara yg dingin sangat berkesan. Foodcourt dg sajian live music dg berbagai macam menu makanan yg ramah di dompet.;
Ditempat ini terdapat food court restaurant denga acara special di malam hari, serta terdapat juga toko toko kecil dan taman bermain yang lumayan besar di tempat ini.;
WOOWWW dingiiiinnn. Sebagai warga Jakarta yang membutuhkan udara sejuk ke Batu merupakan pilihan tepat. Belum ke Batu kalau belum ke BNS. Ada banyak sekali permainan disini. Yang paling berkesan tentu saja sepeda angin yang bisa membuat kita melihat CITYLIGHT!!!!! di beberapa spot lintasannya. Sebisa mungkin datanglah pas lagi bukan musim liburan. Biar bisa puas :)));
Layaknya pasar malam pada umumnya. Buka dari sore hari hingga malam hari. Banyak wahana disana termasuk permainan gokart. Beli tiket terusan untuk merasakan semua wahana. Lokasi favorite untuk berfoto ria adalah taman lampion dan 3d arts gallery. Terdapat pilihan food court dan café.  Harga masih sangat terjangkau. Hanya saja parkiran yang kurang luas untuk musim liburan mengingat banyak nya bis yang parkir.;
Rame Seru Asyiik,Cuma Klo Bisa Tiketnya Dibuat Include Smua permainan...jadi ga terkesan terlalu mahal setelah habis main ke BNS,Karena Tiket Wahana Terpisah Lagi Dengan Tiket Masuk....Over All asyiik Sih;
Jika anda ingin berkunjung kesini sebaiknya dilakukan setelah matahari terbenam, karena sesuai judulnya Batu Night Spectacular (BNS), tempat ini akan terasa spketakuler pada malam hari. Pada umumnya tempat ini adalah taman bermain seperti pasar malam tetapi lebih besar dan lebih permanen. Harga tiket masuk cukup terjangkau, karena saya berkunjung pada weekdays maka cukup membayar 30 ribu rupiah saja untuk tiket masuk, dan jika kita ingin mencoba beberapa permainan maka kita diharuskan membayar lagi yang harganya bervariasi antara 10 sampai 15 ribu rupiah, dengan pengecualian Gokart dan Rumah Lampion yang lebih mahal, atau kita dapat membeli tiket terusan seharga 100 ribu rupiah dan dapat mencoba seluruh permainan (dengan beberapa pengecualian). Permainannya ada yang untuk anak-anak sampai dengan yang cukup berbahaya dan memacu adrenalin. Ingin bermain di taman bermain yang terjangkau dan cukup lengkap, disinilah tempatnya.;
Nice place tapi hindari berkunjung ketika liburan karena kemacetannya luar biasa. Disini ADA banyak wahana permainan Dan taman lampion yg bagus untuk sesi pemotretan;
Bns sangat menarik dan bagus sekali,jika kita berada disini kita akan dibawa menikmati malam sambil berfoto ria di lampion garden dan kita juga dapat menikmati permainan2 yg menarik dan disini juga terdapat pusat oleh2 juga,jadi tidak usah pusing2 membeli oleh2 dibatu jika kesini;
Wisata lampu.. dimana mana tersorot lampu warna warni.. untuk permainan tersedia dari level anak kecil sampai orang dewasa dengan syarat jangan memiliki penyakit jantung dan sedikit waspada untuk ibu hamil untuk memilih permainan yang ada..;
BNS ini seperti perpaduan antara dufan dan trans studio. Bukanya sore sekitar jam 6 sampai malam. Permainan yang ada di sini lebih cocok untuk anak2 dan mungkin kurang menantang untuk orang dewasa. Wahana paling menarik menurut saya adalah taman lampion, tempat di mana kita bisa berfoto dengan latar belakang lampion berbagai bentuk yang lucu2.;
BNS buka jam 8 malam sangat lah cocok untuk anak2 karena ada lampion lucu untuk di foto. Untuk orang dewasa, jangan lupa mencoba gravitron! Untuk mengobati rasa malam..;
Banyak arena permainan baik anak2 atau dewasa di sini. Patut di coba buat yang penasaran meskipun areanya tidak begitu besar. Kekurangannya mungkin area parkir yang kurang besar, sehingga jika akhir pekan akan sulit mencari parkir kendaraan;
tempat ini lebih mirip seperti dufan dengan berbagai wahananya. berhubung tempat ini hanya buka di malam hari, so inget2 ya guys jangan sampai kesana di siang bolong. cocok banget bagi kalian yang suka dengan wahan ekstrem....;
disini kalian bisa bermain wahana yg cukup ekstrim tapi aja juga sih untuk kalian yg tidak menyukai wahana ekstrim pokoknya yang nyantai2 aja hehehe ngga hanya itu, disitu juga ada taman lampion yang banyak banget bentuk2 lampionnya yang lucu buat foto... ;
Konsepnya bagus meskipun seperti pasar malam, tetapi jadi daya tarik kota Batu, beda dengan kota lain. Wahana di sini juga cukup lengkap, tetapi sebagian berbayar lagi. Jadi kalo mau puas ke sini beli yang tiket terusan saja jadi bisa main wahana sepuasnya. Aku kesini pas habis hujan jadi kurang menikmati.;
Tempat wisata ini banyak juga di daerah2 lain. Menurut saya tidak terlalu istimewa untuk di kunjungi dan masih banyak tempat lain di batu yg lebih bagus;
Wisata malam hari menjadi lebih variatif dengan adanya Batu Night Spectacular.... Alternatif bagi keluarga yang ingin menghabiskan malam bersama.... Fasilitas lengkap dan lokasi mudah dijangkau.......;
Satu lagi dari kota Batu, siang sudah ke wahana yang lain, waktunya malam hari bisa menikmati hiburan di BNS, pokoknya one stop Vacation deh...seruuu abisss........;
Bagus banget suasananya, warna-warni lampu, wahana-wahananya jg bagus.. yang paling suka pas foto-foto di lampion. Cmn sayangnya banyak wahana harus bayar lagi dan beli tiket lagi, itu yang bikin agak repot.;
Seperti wahana permainan lainyya, ada lampion, go kart, dan berbagai macam jenis permainan lain yang menarik. BNS buka mulai sore hari, hawanya dingin , menyenangkan sekali. ada dancing water dan berbagai hal lain yang patut dicoba.;
Saya sekeluarga ke BNS cuma sayang  waktu itu lokasi posisi sedang hujan. Gerimis ..parkir dapat agak jauh di pinggir jalan depan ind*mar*t. Nggak masalah sama anak anak terjang terus. Ehh..ternyata di dalam banyak permainan yang nggak beroperasi karena hujan. Trs cari permainan yang indoor ..waduh antrinya banyak banget. Sekitar 30 mnt di dalam hujan mulai reda. Sebagian permainan ada yg jalan lagi. Komedi putar , naik mobil mobilan. Sayang gokart nya tdk beroperasi. Akhirnya kita jalan keluar menuju tempat foodcourt..untungnya ada atraksi band musik dan permainan sinar laser. Anak2 senang di sini sambil menikmati kentang goreng dan ronde.;
waduh kalo malam2 kesini berr dinginnya minta amun, tapi seruu dong banyak wahana bermain disini dan keindahan kota terlihat juga ketika bermain disni, mantapp !!!;
Tempat ini luar biasa. saya seperti sedang tidak berada di Indonesia, dimana suasanya sangat dingin dan sejuk dan ada wahana permainan dengan keindahan lampu warna warni. kemudian kami disuguhkan penampilan musik dr panggung besar dan di langit-langit terdapat layar raksasa.;
Tempatnya bagus, masuknya murah tp sayang kalau mau main harus  bayar tiket lagi, buka sore sampai malam;
ini salah satu tempat favorit kami juga waktu berlibur ke batu. lampion warna warni yang bagus dan beberapa wahana permainan. namun ada satu hal yang menurut saya kurang yaitu beberapa spot ada yang sudah rusak dan tidak terawat. favorit saya disini adalah rumah hantu nya. cukup spooky dan mengagetkan tapi sangat fun untuk keluarga;
Yang ke sini jangan lupa foto di iconic appan nama depannya ya. Bagusnya sih kalau sudah gelap. Jadi cahayanya kontras. Tempat main mengingatkanku pada wahana mainan rakyat dan pasar malam saat aku kecil.;
Cukup Bagus... tapi kurang banyak permainan yang menantang adrenalin, lebih cocok untuk taman keluarga menurut saya;
